;SICA 1;EPSG:3116_X;EPSG:3116_Y;EPSG:4326_X;EPSG:4326_Y
347;6668701706;789416.5433;1048982.244;-75.97614965;5.03637882
348;6668700330;787651.0612;1053654.77;-75.99218554;5.078562046
349;6668701637;792420.4335;1047768.704;-75.94904477;5.025489122
350;6608803727;799388.1224;1067434.772;-75.88674478;5.203416864
351;6608801622;803632.6307;1067794.939;-75.8484869;5.206781011
352;6608801616;803842.6798;1068696.775;-75.84661595;5.214937677
353;6608803882;799475.8964;1068022.972;-75.88596864;5.208735531
354;6608800778;799033.0445;1069901.298;-75.89000995;5.225701087
355;6608800531;798338.1731;1066722.441;-75.89619214;5.196951301
356;6608803350;799304.9082;1068074.947;-75.88751155;5.20920087
357;6608801983;805820.3325;1068188.67;-75.82877279;5.210395001
358;6608803248;798247.5912;1065122.503;-75.89696733;5.182488126
359;6604500277;796726.5508;1061025.644;-75.91057337;5.145419887
360;6608800853;800183.4166;1069415.81;-75.8796258;5.221342915
361;6604501491;796684.9018;1061216.274;-75.91095376;5.147141778
362;6608801247;798680.4653;1066080.75;-75.89308963;5.191160344
363;6608801703;804391.1512;1066845.218;-75.84162431;5.198216032
364;6608803223;798283.6108;1066012.037;-75.89666563;5.190528993
365;6608800176;798900.6754;1070823.997;-75.89122738;5.234037342
366;6608800799;800275.0933;1070669.537;-75.87883164;5.232677027
367;6608800488;797524.1362;1065631.702;-75.90350263;5.187071639
368;6608802114;804055.488;1064119.442;-75.84458202;5.173570294
369;6608800959;802194.3584;1067683.154;-75.86145116;5.205734028
370;6608800491;797483.3589;1065818.118;-75.9038751;5.188755465
371;6608802477;798988.2974;1069752.646;-75.89040952;5.224356347
372;6608800184;798686.578;1072157.935;-75.8931925;5.24608837
373;6608801629;803907.1461;1067493.388;-75.84600431;5.204062366
374;6608804126;796985.0469;1065333.87;-75.90835489;5.18436568
375;6608801218;798397.1543;1064488.645;-75.89560261;5.176762959
376;6608803986;804437.9244;1074733.555;-75.84140241;5.269516941
377;6608800593;797062.799;1064779.178;-75.90763951;5.179354231
378;6608800899;801525.2226;1069579.201;-75.86753244;5.222854334
379;6608800200;798886.5207;1070260.347;-75.89134033;5.22894249
380;6608804047;799705.5573;1069239.884;-75.88392955;5.219740441
381;6608803247;798102.4454;1065320.908;-75.89828098;5.184277616
382;6608800488;797524.1362;1065631.702;-75.90350263;5.187071639
383;6608803307;803680.7744;1066151.421;-75.84801134;5.191927125
384;6608800673;796517.0989;1062720.281;-75.91250546;5.160731078
385;6608801697;804091.5466;1066738.749;-75.84432277;5.197246136
386;6608801640;803691.4941;1067112.805;-75.84793896;5.200616966
387;6608800780;799062.0981;1069809.872;-75.88974563;5.2248755
388;6668700795;788820.4065;1048572.094;-75.98151169;5.032656195
389;6668700235;786867.8864;1050530.768;-75.99916108;5.050306745
390;6638300301;785952.3047;1047020.714;-76.00731949;5.018558972
391;6668701219;786815.393;1053692.635;-75.99971862;5.07888187
392;6668700869;790846.4529;1048385.898;-75.96324665;5.031026488
393;6668700373;787763.1839;1052789.92;-75.99115191;5.07074861
394;6668700363;786966.096;1052952.26;-75.9983405;5.072194503
395;6668700803;789331.521;1048491.384;-75.97690306;5.031940194
396;6668700746;787461.5457;1049345.971;-75.9937791;5.039614491
397;6668700165;786111.8394;1053407.328;-76.00605223;5.076284391
398;6668700427;790072.2301;1054479.278;-75.97038455;5.086078349
399;6668701219;786815.393;1053692.635;-75.99971862;5.07888187
400;6668700163;786442.7395;1053685.994;-76.00307725;5.078811834
401;6668700444;789642.5658;1054467.885;-75.97425701;5.08596399
402;6668700470;789082.2597;1052587.339;-75.97925748;5.068952786
403;6668700742;787658.9036;1050088.183;-75.99202003;5.046327778
404;6668701256;786641.9953;1051455.525;-76.00122166;5.058658535
405;6668700247;786986.1619;1051398.527;-75.99811819;5.058152599
406;6668700321;789379.3617;1054287.536;-75.97662461;5.084327011
407;6668701614;793400.2161;1047935.33;-75.9402185;5.027020407
408;6668700747;787505.2973;1049245.328;-75.99338212;5.038706051
409;6668701830;786875.2858;1053005.514;-75.99916041;5.072673371
410;6668701391;786096.7671;1049770.103;-76.00609072;5.043411358
411;6668700516;789122.6682;1050900.011;-75.97884873;5.053703827
412;6668700797;788756.2261;1048290.383;-75.98208273;5.030108408
413;6668700825;788618.7314;1047427.307;-75.98329924;5.022304336
414;6668700239;787012.787;1050750.225;-75.99786095;5.052294037
415;6668700058;786248.4335;1054360.521;-76.00484669;5.084902867
416;6668700021;787268.1601;1055533.126;-75.99568699;5.095528152
417;6668701697;787369.8095;1050308.457;-75.99463142;5.048310904
418;6668701592;789072.7403;1048568.319;-75.97923739;5.032628724
419;6668700388;786230.2531;1052082.817;-76.00494944;5.064316867
420;6668700337;787760.5729;1054237.01;-75.99121401;5.083827204
421;6668701311;787501.3267;1052294.197;-75.99349886;5.066261323
422;6668700812;788461.1071;1048098.035;-75.98473746;5.028362194
423;6668700738;788892.1356;1049841.005;-75.9808986;5.044126467
424;6668700282;786973.8768;1056710.616;-75.99837115;5.106162227
425;6668700258;785765.83;1051159.708;-76.00911053;5.055961495
426;6668700166;786389.6452;1053431.806;-76.00354898;5.076513095
427;6668700030;787447.2254;1055162.219;-75.99406306;5.092180748
428;6668700029;787516.0982;1055336.753;-75.99344695;5.093760016
429;6668700170;786287.3213;1052940.457;-76.00445806;5.072069611
430;6668700392;786903.5037;1051667.999;-75.99887037;5.060585843
